0,0
1,40
2,4
3,13
4,48
5,73
6,13
7,21
8,0
9,9
10,99
11,78
12,60
13,3
14,19
15,0
16,67
17,67
18,11
19,18
20,18
21,67
22,15
23,13
24,67
25,13
26,40
27,3
28,51
29,5
30,0
31,59
32,77
33,9
34,75
35,0
36,25
37,68
38,4
39,15
40,23
41,31
42,19
43,15
44,19
45,52
46,0
47,20
48,3
49,41
50,7
51,0
52,81
53,8
54,61
55,81
56,15
57,11
58,11
59,5
60,15
61,43
62,3
63,3
64,3
65,27
66,71
67,14
68,20
69,0
70,3
71,15
72,21
73,82
74,0
75,20
76,11
77,15
78,11
79,82
80,3
81,47
82,5
83,3
84,89
85,14
86,85
87,3
88,90
89,3
90,13
91,90
92,9
93,25
94,41
95,31
96,19
97,31
98,4
99,31
100,20
101,0
102,28
103,9
104,31
105,0
106,27
107,0
108,9
109,31
110,40
111,19
112,19
113,23
114,46
115,74
116,76
117,66
118,54
119,31
120,15
121,20
122,40
123,3
124,20
125,3
126,0
127,15
128,3
129,58
130,5
131,58
132,58
133,20
134,23
135,20
136,20
137,20
138,23
139,87
140,0
141,0
142,15
143,30
144,5
145,82
146,96
147,5
148,5
149,63
150,0
151,43
152,23
153,17
154,19
155,5
156,20
157,0
158,20
159,0
160,25
161,3
162,82
163,20
164,82
165,5
166,20
167,82
168,76
169,5
170,3
171,12
172,36
173,19
174,24
175,76
176,23
177,5
178,5
179,15
180,23
181,67
182,3
183,31
184,0
185,5
186,82
187,3
188,5
189,20
190,13
191,72
192,4
193,51
194,19
195,41
196,13
197,5
198,13
199,40
200,0
201,27
202,7
203,25
204,0
205,3
206,3
207,7
208,40
209,32
210,3
211,4
212,4
213,23
214,5
215,13
216,47
217,56
218,21
219,13
220,30
221,13
222,47
223,13
224,13
225,60
226,13
227,21
228,89
229,90
230,85
231,4
232,67
233,52
234,3
235,5
236,0
237,5
238,77
239,67
240,41
241,102
242,6
243,0
244,18
245,21
246,0
247,21
248,23
249,59
250,0
251,74
252,20
253,2
254,7
255,82
256,5
257,17
258,5
259,0
260,3
261,5
262,0
263,48
264,48
265,88
266,15
267,3
268,15
269,5
270,0
271,16
272,3
273,3
274,5
275,36
276,15
277,20
278,66
279,5
280,5
281,47
282,5
283,13
284,14
285,6
286,30
287,0
288,43
289,9
290,55
291,55
292,55
293,18
294,55
295,55
296,11
297,0
298,72
299,55
300,75
301,55
302,55
303,0
304,32
305,0
306,3
307,46
308,33
309,33
310,55
311,55
312,55
313,0
314,55
315,0
316,0
317,11
318,11
319,13
320,48
321,46
322,3
323,41
324,25
325,4
326,13
327,14
328,9
329,5
330,33
331,31
332,13
333,89
334,28
335,15
336,60
337,36
338,11
339,12
340,5
341,3
342,28
343,21
344,3
345,48
346,48
347,57
348,11
349,15
350,28
351,48
352,17
353,9
354,32
355,28
356,3
357,17
358,28
359,40
360,3
361,28
362,15
363,15
364,28
365,15
366,44
367,3
368,10
369,28
370,9
371,8
372,3
373,32
374,31
375,0
376,28
377,10
378,0
379,58
380,57
381,8
382,51
383,15
384,51
385,20
386,51
387,17
388,5
389,5
390,8
391,8
392,3
393,43
394,75
395,0
396,39
397,5
398,22
399,66
400,61
401,73
402,5
403,75
404,5
405,72
406,8
407,20
408,0
409,17
410,73
411,8
412,63
413,15
414,8
415,5
416,5
417,5
